GiftRegistryFlag,LoyaltyMember,NPSSegments,nps,ShipDays,TransitDays,DaysToArrive,Backorder,NumOfPackages,DeliverySelection,DeliveryFee,units,retail,APPAREL,BEAUTY,HANDBAGS AND ACCESSORIES,home,JEWELRY,shoes,Carrier,OnTime,LateReason,Accurate,InaccurateReason,GoodCondition,BadConditionReason,EmailClear,PricesClear,PromotionsValid,RewardsGood,ValueItemGood,ReturnEasy,DeliveryFast,AgentAvailable,AgentEffective,ContactedCsAgent,NumCSContacts,LevelOfEffort,PromotersMostImportant,NotRecommendReason,TellFriends,AdditionalFeedback,DidNotFind
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,1,89.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,2,0,2,N,2,Standard,0,4,56.18,Y,Y,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,"Companys.com made Christmas shopping easy. The sales were great too. I do wish that the Company's furniture gallery would ship to the Midwest, specifically Nebraska. I have a couch from the Kenton line in graphite, but can't get the matching loveseat and chair ",NULL,NULL
No,Yes,Promoter,10,0,2,2,N,2,Premium (2 Day),0,8,126.33,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,99,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,0,2,2,N,2,Standard,0,2,169.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,8,0,5,8,8,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,Easy website to navigate. Easy checkout process. Don't like I purchased cookware that is now discounted.,"Cookware is now $20 cheaper. (10%). How do I go about getting an adjustment? Don't want to order another set, return this one just to get the discount.",Uggs
No,Yes,Detractor,5,1,1,2,N,1,Standard,0,1,84.14,Y,,,,,,Sure Post,Later than expected,Longer than expected for multiple shipments,Yes,NULL,No,Security sensor was not removed,Yes,5,0,0,5,8,0,NULL,NULL,No,NULL,NULL,NULL,Price & Value,Rewards never apply to my purchases.,Packages arrive in a damaged state all of the time.,NULL
No,Yes,Detractor,5,1,1,2,N,1,Standard,0,1,108.99,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,No,"Item was wrinkled, used or worn looking",Yes,8,6,5,8,10,9,10,3,Yes by phone,2 or more times,Very high effort,NULL,Price & Value,"Company's offers great product diversification at great prices, delivery and professional customer service representatives in the United States. Unfortunately, most if not all customer calls / inquiries are forwarded to the Philippines where their representa","The representative located in the Philippines could not adequately answer questions regarding a Tommy Hilfiger Puffer Coat which appeared worn, slightly damaged and contained a used paper towel/kleenex tissue. Therefore, I requested to speak to a representative in the USA who explained the possible circumstances; the coat was most likely pulled off the showroom without it being thoroughly inspected before shipping.",Most
Yes,Yes,Promoter,10,1,1,2,N,2,Standard,0,2,271.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,6,99,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,Love the ease of ordering,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,9,34.05,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,10,10,Yes by phone,1 time,Very low effort,Customer Support,NULL,Fast & convenient shopping Any problems & concerns are quickly handled.,NULL,Bread plates Gold Buffet dinne
No,No,Passive,8,0,1,1,N,1,Standard,0,2,90.78,,,,,,Y,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,8,10,99,9,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,It was just too much at one time.  Takes a while to find everything you want and hope the product is still available,NULL,NULL
No,Yes,Promoter,10,0,1,1,N,1,Standard,0,1,169.99,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,99,7,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,0,1,1,N,1,Standard,0,2,285.62,,,Y,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,9,9,9,9,9,8,8,Yes by phone,2 or more times,Very high effort,Price & Value,NULL,Service convenience,NULL,NULL
No,Yes,Promoter,9,0,1,1,N,3,Standard,0,9,220.87,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,1,7,9,10,9,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,goods were delivered on time in good condition,NULL,NULL
No,Yes,Promoter,10,0,1,1,N,2,Standard,0,2,399.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,8,8,9,10,9,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Passive,7,1,11,12,N,1,Standard,0,2,221.99,Y,,,,,Y,Sure Post,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Yes,7,0,0,0,9,5,NULL,NULL,No,NULL,NULL,NULL,Price & Value,NULL,NULL,Comforter queen
No,No,Promoter,10,1,7,8,N,1,Standard,0,2,475.1,,,,,Y,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,NULL,10,NULL,NULL,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Wonderful experience with online ordering,Awesome service and I'm very happy with my online purchase,NULL
No,Yes,Promoter,10,1,7,8,N,1,Standard,0,3,53.15,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,0,5,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Detractor,0,1,4,5,N,1,Standard,0,4,142.77,Y,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,No,99,99,99,4,99,8,0,0,Yes by phone,Issue still unresolved,Very high effort,NULL,Customer Support,One of the worst web sites I have ever used. I then had to call customer service to solve a problem TWICE and spent nearly 2 hours on the phone,"I have received my items, but I'm still not sure if I was charged the correct price. The first email I received was wrong, I called on the phone twice and still did not get follow up emails. The invoice in the package had the WRONG prices. After being on the phone twice- nearly and hour each time ( and the representative assured me her screen had the corrected price), I STILL have not received confirmation email.  I WILL NEVER order from Company's on line again!",NULL
No,Yes,Detractor,3,1,4,5,N,1,Standard,0,6,922.7,Y,Y,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,NULL,6,NULL,NULL,8,8,NULL,NULL,No,NULL,NULL,NULL,Product Delivery,"The coats were both not the level I was hoping. The Ralph Lauren coat was not real sherling (which I knew) but it shed all over me, and there was no way you could wear it with Black. That basically eliminated it. The other coat was very cute but the belt ",NULL,NULL
No,Yes,Detractor,5,1,4,5,N,1,Standard,0,4,57,,Y,,,,,UPS,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Yes,10,9,7,8,10,1,NULL,NULL,No,NULL,NULL,NULL,Product Delivery,"Well, so far I have only received 1 of the 5 items I ordered.",NULL,Selection of childrens slippers were terrible. Nothing for sizes 11-2 and way over priced on what you did have.
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,2,76.98,Y,,,,,Y,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,9,99,9,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,No,Passive,8,1,4,5,N,2,Standard,0,4,194.67,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,7,7,5,8,8,6,NULL,NULL,No,NULL,NULL,NULL,Customer Support,I really liked a vast range of clothing choices and the websites puts it across pretty well!,NULL,NULL
No,Yes,Passive,7,0,5,5,N,2,Standard,0,2,171.5,,,,,,Y,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,6,5,8,10,8,7,10,Yes by phone,1 time,Low effort,NULL,Price & Value,Generally very descriptive explanations of item. Is good to include dimensions and fabric descriptions also helpful to include laundry instructions.,NULL,NULL
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,1,29.5,,Y,,,,,Mail Innovatiions,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,7,10,8,10,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,"Fast service , wide variety and  quick shipment",Every thing I got was a pleasure and only one item I had to return and it was easy,NULL
No,Yes,Promoter,10,1,4,5,N,2,Standard,0,3,75.39,Y,Y,,,,,Mail Innovatiions,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,8,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,Companys is like my second home.  I have referred dozens of friends.,I am completely satisfied,NULL
No,Yes,Promoter,9,2,3,5,N,1,Standard,0,9,221.94,Y,Y,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,8,4,9,8,10,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Fast delivery great prices and easy returns,NULL,NULL
No,Yes,Promoter,10,1,4,5,N,2,Standard,0,3,64.46,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,99,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,Company's needs more help at all of the stores.  It is frustrating to finally to be ready to pay for the purchase and not find anyone at the customer service desks.  One time  a person was doing three jobs and finally appeared.   She told me to report to the company that she is alone and must  do so many other things along with checking people out. She was the only person working and needed to be in the stock room.   That meant that no one was at the desk.  It was so frustrating and it was not her fault.  I have walked clear around the store and not found anyone and almost walked out without buying a thing.,could use more petite clthing in the Nortgate and Tri county store...Kenwood and Anderson is the best place to buy petites
No,No,Promoter,10,2,3,5,N,1,Standard,0,4,79.47,Y,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,99,9,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,No,Promoter,10,1,4,5,N,1,Standard,0,2,27,,Y,,,,,Mail Innovatiions,When expected,NULL,Yes,NULL,Yes,NULL,Yes,8,99,99,99,9,8,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,"Like the ease of ordering on-line, not a hassle on the web.",NULL,Fashion Fair Concealer I
No,Yes,Promoter,10,2,3,5,N,1,Standard,0,1,160.3,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,"Quality products, great prices, prompt shipping.",NULL,NULL
No,Yes,Promoter,10,0,5,5,N,1,Standard,0,1,39.6,Y,,,,,,Mail Innovatiions,Cannot Answer,NULL,Cannot Answer,NULL,Cannot Answer,NULL,Yes,NULL,10,NULL,NULL,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,2,3,5,N,1,Standard,19.9,2,15.39,Y,,,,,,Mail Innovatiions,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,9,9,8,8,6,NULL,NULL,No,NULL,NULL,Price & Value,NULL,nice coupons and ease of shopping online,NULL,NULL
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,7,196.95,,Y,Y,,,Y,UPS,Later than expected,Delayed at warehouse / store,Yes,NULL,Yes,NULL,Yes,10,0,5,7,10,4,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Detractor,6,0,5,5,N,1,Standard,0,1,76.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,6,5,6,6,7,5,NULL,6,Yes by email,2 or more times,Moderate effort,NULL,Product Selection & Availability,the price is good!,more coupons please!,NULL
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,1,39.5,,Y,,,,,Mail Innovatiions,Later than expected,None of the above,Yes,NULL,Yes,NULL,Yes,9,0,10,9,99,6,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,2,3,5,N,3,Standard,0,8,244.54,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,10,8,10,9,9,9,Yes by chat,1 time,Low effort,Price & Value,NULL,NULL,All communications on my order are clear.  I particularly liked that when an item is shipped I am notified and it also includes previous shipped items.  This makes it easy to see at a glance the status on all orders.,NULL
No,Yes,Passive,8,3,2,5,N,3,Standard,0,5,337.95,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,8,8,5,8,8,8,NULL,NULL,No,NULL,NULL,NULL,Customer Support,NULL,NULL,NULL
No,Yes,Promoter,9,1,1,2,N,1,Standard,0,1,87.49,Y,,,,,,UPS,When expected,NULL,No,None of the above,Yes,NULL,Yes,8,3,6,4,10,5,10,4,Yes by phone,1 time,Moderate effort,Website Shopping Experience,NULL,I sent back through amazon but directly to Companys store and received my credit the day they got it in the mail. It did not cost me a dime to ship it back or to me as well. They even told me if the coat I purchased was for any reason I was returning it that,"The only thing I really had a problem with is I had originally purchased a coat with the wrong size, I called Companys to help me but they needed the return before I could get my credit back on my card making it difficult because I could not purchase the right size until they received my Coat back prior to purchasing the right coat. It clogged up my buying power making me have to wait and I had a trip to cold weather. But other than that, I think that when you purchase through Amazon, thatn Amazon should help me with the credit, especially when I had a tracking number with ups to prove I sent it back.",NULL
No,Yes,Promoter,9,1,1,2,N,4,Standard,0,14,334.05,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,9,8,10,6,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,"Often receive error messages when reviewing orders online. On more than one occasion it appeared order did not go thru only to find out it did ,",More plus size petite jeans
No,No,Promoter,9,0,2,2,N,1,Standard,0,2,214.9,Y,,Y,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,9,0,2,6,99,9,NULL,NULL,No,NULL,NULL,Price & Value,NULL,Order was placed on Sunday and it arrives on Tuesday. It is pretty fast,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,2,25.18,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,8,5,99,9,10,10,10,10,Yes by phone,1 time,Low effort,Customer Support,NULL,Great prices online.  Customer service reps work with you.  Quick delivery.,NULL,NULL
No,Yes,Promoter,9,1,1,2,N,1,Standard,0,1,62.65,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,1,1,9,9,8,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,1,59.49,,,,Y,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,10,10,10,10,10,Yes by phone,2 or more times,Very low effort,Price & Value,NULL,Shopping on line makes holiday shopping so easy.  So much to choose from and they offer great discounts.,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,2,Standard,0,4,108.36,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,5,6,10,10,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,Easy to do on line and good delivery time,Black Friday prices were great!,NULL
No,Yes,Promoter,9,0,2,2,N,1,Standard,0,1,138.6,,,Y,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,9,5,9,8,10,9,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,NULL,I love Companys.  No longer have the card with pack ID..,NULL
No,Yes,Detractor,0,0,2,2,N,1,Standard,0,1,82.49,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,No,99,0,0,0,0,8,10,0,Yes by phone,Issue still unresolved,High effort,NULL,Customer Support,AWFUL!,"I tried to place an order on line but website wasn't working. Called to place the order via phone and the agent tried to place the order but said ""the screen went blank"" so we need to order again. I then received 2 emails for 2 DUPLICATE ORDERS! I called and spoke to a SR. manager who said she would take care of it AND she would call me back to confirm that it was resolved. SHE NEVER CALLED ME BACK and I received the 2 orders! Now...I have to make returns and it wasn't my issue to begin with! I am discussed with Companys and will shop at Nordstrom from now on as they have quality customer service and Company's does not!",NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,3,71.17,Y,,,,,,Sure Post,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Website Shopping Experience,NULL,Very easy.,NULL,NULL
No,No,Promoter,10,0,2,2,N,1,Standard,0,1,104.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,8,9,10,8,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,1,2,N,1,Standard,0,1,83.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Customer Support,NULL,They really are a great shopping experience to shop with!,NULL,NULL
No,Yes,Promoter,10,0,2,2,N,1,Standard,0,2,51.08,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,Easy to find what you are looking for,"Company's is my favorite store, online and in person",NULL
No,Yes,Promoter,10,1,1,2,N,2,Standard,0,11,485.67,Y,Y,,,,Y,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,10,10,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,How easy it is to return items to the store.  Selection online is better than in the stores.,When you add something to your cart it is hard to get back to the same place you were at to continue shopping. Should be a continue shopping button that takes you right back to where you were.,NULL
No,Yes,Promoter,9,0,2,2,N,2,Standard,0,3,126.98,,,Y,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,8,5,5,7,9,7,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,NULL,NULL,NULL
No,Yes,Promoter,9,0,1,1,N,1,Standard,0,1,89.99,,,,Y,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,6,6,7,10,7,10,10,Yes by phone,1 time,Low effort,Price & Value,NULL,NULL,NULL,"Samsung fast charger, yara sho"
No,Yes,Detractor,5,0,1,1,N,1,Standard,0,7,69.29,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,9,6,7,8,8,NULL,NULL,No,NULL,NULL,NULL,Product Selection & Availability,They rarely have fashion in sizes I wear. They are anti-union. They don't hire enough people to represent different areas of the store. Whenever I go into a Company's I always have to hunt down someone to help ring up a sale or return an item. Very frustrati,"It troubles me that Company's is so anti-union. It compels me to search for what I'm looking for at other sites before trying Company's. I also don't understand why Company's would not try to be a leader when it comes to plus size fashion. Someone will figure it out and make a lot of money at it, and I don't understand why it isn't you.",Short sleeve cotton t-shirts for plus size women
No,Yes,Promoter,10,0,5,5,N,1,Standard,0,2,104.98,Y,,,,,,Sure Post,Later than expected,Longer than expected for multiple shipments,Yes,NULL,Yes,NULL,Yes,6,4,10,10,10,6,0,0,Yes by phone,Issue still unresolved,Moderate effort,Price & Value,NULL,ease of shopping on line,"I bought 2 coats and have only received one so far.  The one I received is a little snug and called this morning to get next size up and the woman I spoke to was foreign and hard to understand at times.  This was the first time I was ever asked for my e-mail address, social security number, date of birth and phone.  I didn't feel comfortable she also wanted my Company's account number.  It was a weird call and I have to say this was the first time someone asked me all these questions and I do shop a lot on line and told her to cancel my order and I would call back another time.  Is this a new policy with Company's??????  If someone can call me so I can complete the transaction I would appreciate it.  In this day and age I need to know that the person I am talking to is reputable and I have doubts and when your instinct tells you something is wrong it usually is.  My phone is 860-651-4735 or cell is 860-202-7932.  she told me my discount was not applied to my order either.",NULL
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,3,54.97,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,99,99,10,10,NULL,NULL,No,NULL,NULL,Product Delivery,NULL,Easy order received quickly and more than pleased with purchase!!!,NULL,NULL
No,No,Promoter,10,0,5,5,N,1,Standard,0,5,85.95,Y,,,Y,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,8,99,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,"Pricing, choices and response time.",I enjoy shopping at Company's.  Good quality for the prices.,Patagonia brand
No,No,Promoter,10,0,5,5,N,1,Standard,0,1,15.99,Y,,,,,,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,3,84.98,Y,,,,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,3,10,10,10,8,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,1,13.99,,,,Y,,,Sure Post,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,10,10,10,10,10,NULL,NULL,No,NULL,NULL,Price & Value,NULL,NULL,NULL,NULL
No,No,Promoter,10,1,4,5,N,1,Express (1 Day),0,1,19.99,,,,,,Y,UPS,Earlier than expected,NULL,Yes,NULL,Yes,NULL,Yes,9,9,5,9,4,10,10,10,Yes by phone,1 time,Very low effort,Price & Value,NULL,I liked everything. I had to call late at night and got a very nice young man that helped me with my order. I can't think of anything I didn't like. Very impressed...,NULL,NULL
No,Yes,Promoter,10,1,4,5,N,1,Standard,0,1,15.99,Y,,,,,,UPS,When expected,NULL,Yes,NULL,Yes,NULL,Yes,10,99,10,99,10,10,NULL,NULL,No,NULL,NULL,Product Selection & Availability,NULL,NULL,NULL,NULL
